,Title,Location,Bedrooms,Toilet,Rent,Agent
0,4 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,4 beds,5 Toilets,"14,000,000/year","
 08124269637
"
1,3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,3 beds,4 Toilets,"12,000,000/year","
 08082163583
"
2,2 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,2 beds,2 Toilets,"8,500,000","
 09072600490
"
3,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,3 beds,4 Toilets,"13,000,000","
 09072600490
"
4,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,3 beds,4 Toilets,"18,000,000/year","
 07057302511
"
5,3 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,3 beds,4 Toilets,"11,000,000/year","
 08139265236
"
6,3 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,3 beds,4 Toilets,"10,000,000/year","
 09035137760
"
7,3 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,3 beds,4 Toilets,"10,000,000/year","
 09035137760
"
8,3 BEDROOM HOUSE FOR RENT,Eko Pearl Tower Eko Atlantic Victoria Island Lagos,3 beds,4 Toilets,"28,000,000/year","
 09035137760
"
9,4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,4 beds,5 Toilets,"15,000,000/year","
 09035137760
"
10,4 BEDROOM HOUSE FOR SALE,Freedom Way Lekki Phase 1 Lekki Lagos,4 beds,5 Toilets,"135,000,000","
 07025014897
"
11,4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,4 beds,5 Toilets,"12,000,000/year","
 09035137760
"
12,7 BEDROOM COMMERCIAL PROPERTY FOR RENT,Sanusi Fafunwa Sanusi Fafunwa Victoria Island Lagos,7 beds,0 Toilets,"30,000,000/year","
 08168064058
"
13,5 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,5 beds,6 Toilets,"50,000,000/year","
 08038592381
"
14,COMMERCIAL PROPERTY FOR RENT,Ozumba Mbadiwe 1004 Victoria Island Lagos, beds, Toilets,"2,500,000/year","
 07034071781
"
15,3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,3 beds,4 Toilets,"11,000,000/year","
 08139265236
"
16,FLAT / APARTMENT FOR RENT,"Walter Carrington Crescent, Victoria Island Victoria Island Lagos", beds, Toilets,"14,000,000/year","
 07034071781
"
17,4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,4 beds,5 Toilets,"9,000,000/year","
 09035137760
"
18,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,3 beds,4 Toilets,"12,000,000/year","
 08098000359
"
19,3 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,3 beds,4 Toilets,"10,000,000/year","
 09035137760
"
20,3 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,3 beds,4 Toilets,"7,500,000/year","
 09035137760
"
21,4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,4 beds,5 Toilets,"10,000,000/year","
 09035137760
"
0,4 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,4 beds,5 Toilets,"14,000,000/year","
 08124269637
"
1,3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,3 beds,4 Toilets,"12,000,000/year","
 08082163583
"
2,2 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,2 beds,2 Toilets,"8,500,000","
 09072600490
"
